ASIN,name,ProductUrl,ProductRating,ProductPrice,ProductReview,Description,Manufacturer,ProductDescription
B0BWNBQXDZ,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty ",https://www.amazon.in/dp/B0BWNBQXDZ,4.3 out of 5 stars,"1,800",58," Care Instructions: Wipe with Damp Cloth  
 Handcrafted with care and made up of premium quality robust material  
 Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side  
 Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket  
 GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty  ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",
B0BSH4H4DB,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty ",https://www.amazon.in/dp/B0BSH4H4DB,4.2 out of 5 stars,"2,300",42," Care Instructions: Wipe with Damp Cloth  
 Handcrafted with care and made up of premium quality robust material  
 Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side  
 Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps  
 GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty  ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800","Product Description Never Ordinary Standout in sustainable fashion with uppercase—India’s 1st GRS-certified bags brand. We are an environmentally sensitive brand of Travel Gear for the young with a taste for things that don’t just help them look or feel good but also do good. And it's ready to get working and go places with you. Features that Stand Out! Stylish and sturdy yet lightweight, the uppercase day backpack is made with premium quality robust material with sturdy stitching, it offers a little extra than what you need for your school essentials. Designed with Care This 19L anti-theft laptop backpack promises durability, robustness, and reliability. It successfully goes through the tear test, break test, and 2000 jolt test before it reaches you. Strength & Safety This durable bag features a smooth inner surface and a wrinkle-free, sturdy outer that stays upright. Storage & Organisation Designed for your convenience, this bag has a front zipper pocket, a side bottle pocket, and a tablet sleeve for better organization. Anti-Theft Laptop Compartment It is designed with a 15.6"" laptop compartment and comfortable air mesh padding to keep you going. Designed for good - A Promise of Sustainable and Ethical Production Choose uppercase for sustainable bags that don't compromise on quality. Our school backpack is made with premium recycled material and is GRS-certified for sustainability, making it a stylish step towards sustainability. Vegan Leather Laptop Backpack 7A Blue Daypack 02 Purple Matrix Professional Backpack 08 Black Tall Boy Laptop Backpack 10A Red Apex Professional Backpack 01 Black Rainproof Zipper ✓ ✓ ✓ ✓ ✓ Laptop Sleeve Yes No Yes Yes Yes Bottle Holder ✓ ✓ ✓ ✓ ✓ Sturdy ✓ ✓ ✓ ✓ ✓ Trolley Sleeve Yes No Yes Yes Yes"
B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack ,https://www.amazon.in/dp/B08Z1HHHTD,4.1 out of 5 stars,599,"5,000"," Care Instructions: Hand Wash Only  
 Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,  
 Water Resistance Level: Not Water Resistant  
 Size: 35 x 13 x 46 cms  ",VIP Industries Ltd,From the manufacturer
B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,https://www.amazon.in/dp/B07CJCGM1M,4.0 out of 5 stars,"1,199","55,188"," Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  
 Outer Material: Polyester, Color: Black  
 Water Resistance: Water resistant , not Waterproof  
 Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters  
 Number of Wheels: 0, Number of compartments: 3  
 Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  
 Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  
 Mesh Padding on back & shoulder strap to provide comfort & better back support  ","Samsonite, Samsonite India",From the manufacturer
B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,https://www.amazon.in/dp/B084JGJ8PF,4.3 out of 5 stars,550,"11,550"," 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  
 Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  
 Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  
 Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  
 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  
 Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ",,"Product Description Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! Fits Your Laptop Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. Padded Back Straps The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. Spacious Storage Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. Back Support It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. A Bag for any weather Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black) ,https://www.amazon.in/dp/B075MK4TXP,4.4 out of 5 stars,"1,085","5,779"," Outer Material: Polyester, Color: Black  
 Water Resistance: Water resistant  
 Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2  
 Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,  
 Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",From the manufacturer
B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",https://www.amazon.in/dp/B09VTDMRY7,4.0 out of 5 stars,679,"4,640"," Care Instructions: Wipe with Damp Cloth  
 Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>  
 USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>  
 Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>  
 Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>  
 Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>  ","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",
B0BTD4S4XF,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",https://www.amazon.in/dp/B0BTD4S4XF,4.3 out of 5 stars,"1,299",416," Care Instructions: Hand Wash Only  
 Well Organized compartment ,Security Back Pocket  ","EXPERTS, China",From the manufacturer
B07YDGQQN5,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment ",https://www.amazon.in/dp/B07YDGQQN5,4.3 out of 5 stars,849,"5,379"," Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>  
 External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments<br>  
 The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease<br>  
 Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey<br>  
 Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>  ","Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028","Product Description Comfortable and Sturdy This ergonomically designed travel backpack is built-in with cushioned back to provide easy carrying and commuting experience. It is a comfortable and ideal gear to carry while hiking or trekking. Multiple Pockets This fashionable backpack is designed with multiple pockets to store your necessities and accessories like phone, charger, medicines etc. It has two mesh pocket on each side to carry water bottles. Shoe Compartment This backpack is designed with separate shoe compartment. You can keep your shoes isolated from your clothes and other belongings. It is built to make your journey more convenient and organised. Built for an Adventure This multi-utility travel gear is built to carry your necessary belongings when you head out on an adventure. It is equipped with multiple straps or cords to carry extra gear like yoga mat. It remains comfortable to carry even while walking for long hours. Spacious Compartment This backpack is designed with roomy interior compartments for easy access and organisation. You may keep your daily necessities such as clothes, sleeping bag, umbrella, first-aid kit and many more in organised way. Water-resistant Polymer Material. This travel gear is crafted from polyester material. It is durable and built to withstand different weather conditions including heavy rain and extreme heat. It can secure your belongings without damages."
B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,https://www.amazon.in/dp/B0BJ32LQ6X,3.9 out of 5 stars,849,"3,074"," Care Instructions: Hand Wash Only  
 This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.  
 Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.  
 Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.  
 Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.  
 FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc  ",Amazing Bags,"Product Description Half Moon Backpack - A Quality of Backpacks We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature. Features DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women. COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. INNER MATERIAL: The material used in the inner compartments is thin yet strong and durable so, be assured of its quality. Thin material is used inside to make it lightweight & comfortable in carrying and to protect it from wear & tear. LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that is too organised. It has an internal organiser which is small pockets inside the first compartment for pens, diary, phone etc. OTHER FEATURES: Rain cover, Internal Organiser, Reflector logo, Two water bottle/umbrella pockets, Secret-pocket at bottom for Rain cover and other stuffs, High-Quality zippers, Bartacks on pressure points for extra strength, Ergonomic design, etc. Casual Stylish Backpack This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer. Backpack for Every Needs This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying, Space & Comfort This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Small Pockets This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items. Rain / Dust Cover This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time. Proudly Made in India Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials. Shipped Directly from Factory Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible. Half Moon Large 37L Laptop College School Bag Backpack for Men & Women Half Moon 45L Hammer Laptop Travelling Backpack Half Moon 35 L 15.6 inch Waterproof Laptop Office School Bag Backpack Rain Cover Half Moon 35L Casual Waterproof Laptop Office School Backpack with Rain Cover Half Moon Water resistant Travelling Laptop Rucksack Backpack Size & Dimensions 50 x 30 x 22 cm 54 x 36 x 25 cm 48 x 35 x 21 cm 48 x 35 x 21 cm 49 x 36 x 22 cm Color Black & Orange Black Black Navy Blue Black Capacity 37 Litres 45 Litres 35 Litres 35 Litres 35 Litres Bar-tacks ✓ ✓ ✓ ✓ ✓ Rain Cover ✓ ✓ ✓ ✓ ✓ Country of Origin India India India India India"
